path,aggressiveness,gender
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-01-24.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-01-02-24.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-01-24.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-01-02-02-24.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-01-24.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-01-02-24.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-01-24.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-02.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-04.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-06.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-08.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-10.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-12.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-14.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-16.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-18.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-20.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-22.wav,1,0
Audio Dataset/Female/Aggressive\03-01-05-02-02-02-24.wav,1,0
Audio Dataset/Female/Aggressive\1002_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1002_IEO_ANG_LO.wav,1,0
Audio Dataset/Female/Aggressive\1002_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1002_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1002_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1003_IEO_ANG_LO.wav,1,0
Audio Dataset/Female/Aggressive\1003_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1003_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1003_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1004_IEO_ANG_LO.wav,1,0
Audio Dataset/Female/Aggressive\1004_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1004_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1004_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1006_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1006_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1006_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1007_IEO_ANG_LO.wav,1,0
Audio Dataset/Female/Aggressive\1007_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1007_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1007_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1008_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1008_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1008_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1009_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1009_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1009_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1010_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1010_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1010_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1012_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1012_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1012_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1013_IEO_ANG_LO.wav,1,0
Audio Dataset/Female/Aggressive\1013_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1013_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1013_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1018_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1018_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1018_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1020_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1020_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1020_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1021_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1021_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1021_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1024_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1024_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1024_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1025_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1025_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1025_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1028_IEO_ANG_LO.wav,1,0
Audio Dataset/Female/Aggressive\1028_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1028_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1028_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1029_IEO_ANG_LO.wav,1,0
Audio Dataset/Female/Aggressive\1029_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1029_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1029_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1030_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1030_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1030_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1037_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1037_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1037_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1043_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1043_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_ITH_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_ITS_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_IWL_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_IWW_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_MTI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_TAI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_TIE_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_TSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1043_WSI_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1046_DFA_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1046_IEO_ANG_HI.wav,1,0
Audio Dataset/Female/Aggressive\1046_IEO_ANG_MD.wav,1,0
Audio Dataset/Female/Aggressive\1046_IOM_ANG_XX.wav,1,0
Audio Dataset/Female/Aggressive\1046_ITH_ANG_XX.wav,1,0
