VoiceClip_No,TextTranscripts,label
Voice1,"We want to increase our Wi-Fi services, increase thespeed for the upload and the download. How do we do that?
Oh, fiber connection. So how do we do that?Okay. So then for the connection, we have to reconnect everything?

",Non
Voice2,"I want to know whether I will be charged for the for dialing 12 and 12It's free of charge?Ok, so whenever I happen to dial this number
no charges made by the telecom, isn't it?

",Non
Voice3," I made a complaint today morning.I did not get any calls from you guys for the technical issues
 because I am working from home and I need the internet and I need to get this done urgently 
",Agg
Voice4," I'm calling to reactivate my line. I've been requesting this for the last three days and it's still not connected
 I want to raise a complaint against your regional office.
",Agg
Voice5," Can you check and tell me my balance ? 
",Non
Voice6,"I want to log a complaint that my internet POTV Not is working.
There is a red color indicator appearing in the background.whats the reason behind this 
",Non
Voice7,"I would like to add on some GB to my connection.
Can you tell me how much GB I've used during peak hours?
",Non
Voice8,"I have the LOS light Blinking red color in the router I got this for the few days back as well. Can i know the reason for this?
The number is 0382245356.",Non
Voice9,"
Actually I made this complaint on Saturday.Our yellow color, you know that cable that goes from the set box to the router, that got damaged. Now I made a complaint, I reported this.and no one attended to the problem.
We are a travel company and we need this attended to extremely urgently. Really dissappointed with your service 
",Agg
voice10,"Hi can i know how much is the minimum that i should pay to get back my connection back
",Non
voice11,"Hello.I just want to check if I have a GB available on my network because it seems to have a slowed
down at the moment.
",Non
voice12,"Now we got our line when  shifted when we shifted our house  to Colombo and we got our telephone line 
and now its not working so I want to know why the Wi-Fi is not working
",Non
voice13,"
We have two numbers for which we are not getting physical bills.Why don’t we get Physical bill anymore. We prefer getting physical bill rather than getting an email. Not all the people are updated with the new technologies.
",Agg
voice14," Regarding my connection, there are two things. One is that this phone is very noisy.
And the other one is that my fiber connection, they have laid over the electrical line.
Now it is stuck and it is just hanging on the electrical line.",Non
voice15,"I made a complaint regarding our internet connection but still I didn't get any reply
from your sideSo can you please check whether what is the status?",Non
Voice16,"Hello, our landline is not working now
it's under the name of Mr. K Rajagopal.",Non
Voice17,My phone Number is 0313121768. My billing date is today so from tommorrow onwards i need to migrate to unlimited day flash package.,Non
Voice18,"Sick of this garbage internet and useless router lights. Fix it, or I'm out. No more patience for your incompetence. ",Agg
Voice19,"
I'm having problem with the online payment system?I have been trying for morning but it says not available.
",Non
Voice20,"I just want to check with you whether  I have made a router payment on the 9th of November cause I just
checked my November bill that payment has not got credited.

",Non
Voice21,"I have a loss of signal blinking red lights on my router.the LOS is flashing red after the storm.but I've only looked indoors and this happened a few hours ago before the storm. I paid yesterday, so don't blame me.You better fix it quickly 
.",Agg
Voice22,"Hello, I have made a complaint regarding the picture not appearing on our TV.
I have been making this complain from yesterday night.
",Agg
Voice23,Now what i want to know is that i have a got a message saying to pay the arreas upto october otherwise this line will be disconnected. can you tell me what is the arrears upto october. Is that the minimum payment i should pay,Non
Voice24,"Yeah, in the router there is a LOS bar which is blinking in red right now.Yeah, I need to just make it a high priority because this is a business shop.
So, I cannot do anything without this internet connection.",Non
Voice25,"
 So I made a few complaints last few days, but still no one attending to the resolved that issue.Yes, still there are some noises coming, and the internet not working.
 ",Non
Voice26,"Yes hello, yesterday I made the complaint about my telephone
after the rain there's a big blackout came and a island wide powercut
After power cut our router is gone",Non
Voice27,"
Why is it that you people  get delay in giving response from your  office
I have been waiting, waiting ,Till after 5 minutes only you are all connected
Anyway, as far as possible try to conduct us as early as possible which is really good for everybody
",Agg
Voice28,"My wifi is not working Without that I cannot work, I am using my mobile data right now 
So I have a lot of meetings to attend, so for that I need the internet, can you inform your team to come as soon as possible ",Agg
Voice29,"I made a complain regarding my fiber connction last week and I've been  calling for the past three days. They're not doing anything, no?What is their problem? 

",Agg
Voice30,"Today After the payment i did not get any message regarding that the payment was done
Usually When I pay after that, it will come to my SMS. Today it didn't come, that's why I called.
",Non
Voice31," from today morning, I think because of  the lightning and the rain, the connection got lost.
 can I have a technician to check on my phone connection?
 ",Non
Voice32,"Do you know how much GB I've used for this month? And also What's your GB pricing the costing?

",Non
voice33,Can you please add 10 GB to this number?,Non
Voice34,"There is a problem in my connection It just has only two lights the others are not working. Only the 
Power button is working and the Wi-Fi button is working. I mean the light
Telephone line is also connected to the router",Non
Voice35,"
Fix the fiber cable hanging on the electrical line now! The voice line's a mess, and your pathetic router isn't cutting it.Resolve this within today or else you will loose a customer.",Agg
Voice36,"I'm fed up with your billing chaos. Where are my hard copy bills? I want them now, not some lame text messages. Fix this billing mess ",Agg
Voice37,"Hello.i want to disconnect my SLT line cause I have been calling you all for the past few days telling that my internet connection is not working and none of you all attended to my problem . Usless SLT services 
",Agg
Voice38,My bill is showing charges for a service I never used.can you check those charges,Non
Voice39,One of your agent was really rude to me. I want to complain about your bloody agent,Agg
Voice40,Can you check my remaning amount of GB during the day time,Non
Voice41,There's a problem with my billing. Can you help me understand?,Non
voice42,Unbelievable! My phone service is still down after days. Your lack of urgency is appalling. Fix it now or I'm switching to a provider who cares.,Agg
Voice43,"I'm tired of your excuses! This Internet's a mess, and your support is useless.",Agg
Voice44,"Had a technician visit, but the issue is still there. What should I do next ?",Non
Voice 45,"Hi, I want to shift to another data package because the one im using right now is not enough for me.How can I request to change my package ",Non
Voice46,You people are incompetent! I've been on hold forever!,Agg
Voice47,Can I know Why was I overcharged on my last bill?,Non
Voice48,"Last time I called Your agent said a technical support will be sent to my place within the day, but nobody is here.you guys are terrible I can't believe how bad this service is",Agg
Voice49,"Hi,Currently I have the ADSL connection how can I upgrade it to fiber optic connection. Could you please tell me the process",Non
Voice50,Need clarification on the recent payment. Service is still off,Non
Voice51,I'm fed up with your excuses! My phone service has been down for days. Your lack of urgency is unacceptable. Fix it immediately  ,Agg
Voice52,"I would like to add on some GB to my connection.and also I want to upgarde my internert package
",Non
Voice53,"Hi,can you check and let me know when was the last day I have done the payment and how much more I should pay ",Non
Voice54,i've been experiencing some issues with my internet service. Can we work together to troubleshoot and resolve the problem? I appreciate your assistance in ensuring a smooth connection. Thank you for your help.,Non
Voice55,"I've observed an increase in my bill, and I'm seeking clarification on the additional charges.",Non
Voice56,"
Your agent is no good! I've been passed around, and my problem isn't getting fixed. Tired of the excuses. ",Agg
Voice 57,"Your IVR system is a nightmare! It's a maze of options, and I can never reach a real person.",Agg
Voice58,"I wanted to share a positive experience with one of your agents. They were incredibly helpful and patient, addressing my concerns with efficiency. Please pass on my gratitude for their excellent assistance",Non
Voice59,"I wanted to express my concern about the recent service visit. The technician seemed unsure about the issue, and the problem persists. Can we arrange another visit ",Non
Voice60,"Today your technician came to my place to fix the internet problem and that person dose not know how to talk to their customers politely.I want to make a complain against that Technician
",Agg
Voice61,"I've been asking for five days to reactivate my line, but no response. The kandy branch office is unresponsive, often not picking up, and even disconnecting calls. I need this resolved, and I'm filing a complaint ",Agg
Voice62,The internet connection im using right now is really slow so how can I speed up the connection,Non
Voice 63,"My line is inactive for days. Matara office isn't cooperating; they don't pick up, cut calls. Urgent complaint needed! This is unacceptable for a business.",Agg
Voice64," I settled my balance today,I usually get an SMS confirmation, but not today. I paid 1300. Can you check and resolve this? Whether I have done the payment ",Non
Voice65,"My internet is painfully slow, making work impossible. Can you fix it?",Agg
Voice66,Phone got disconnected after a late payment. What can I do to resolve the connection back,Non
Voice67,I have been calling telcome for the past two days to fix my internet connection which got disconnected because of the heavy storms.and until now no one came to fix the issue.,Agg
Voice68,Can I check the oustanding balance for this number 0112921097 ,Non
Voice69,"My patience is running out! Internet outages every week. I'm paying for frustration, not service. I won't tolerate this any longer! Really disappointed with your service.",Agg
Voice70,Hi how can I activate your Meet Max package and can I know how much data will be given in this package?and also the price charged for this package ,Non
Voice71,"I'm interested in your internet plans. Can you provide details on speeds, pricing, and installation?",Non
Voice72,Your service has been consistently poor. Constant outages and slow speeds. I'm frustrated and considering switching providers.whats the process to disconnect your service ,Agg
Voice73,"I recently moved to colombo . How can I update my address on file? Also, any changes needed for billing information",Non
