,VoiceClip_No,TextTranscripts,label,processed_content
0,Voice1,"We want to increase our Wi-Fi services, increase thespeed for the upload and the download. How do we do that?
Oh, fiber connection. So how do we do that?Okay. So then for the connection, we have to reconnect everything?

",Non,want increase increase thespeed upload fiber reconnect
1,Voice2,"I want to know whether I will be charged for the for dialing 12 and 12It's free of charge?Ok, so whenever I happen to dial this number
no charges made by the telecom, isn't it?

",Non,want know whether charged dialing free whenever happen dial number charges made
2,Voice3," I made a complaint today morning.I did not get any calls from you guys for the technical issues
 because I am working from home and I need the internet and I need to get this done urgently 
",Agg,made complaint today get calls guys technical issues working home need internet need get done urgently
3,Voice4," I'm calling to reactivate my line. I've been requesting this for the last three days and it's still not connected
 I want to raise a complaint against your regional office.
",Agg,calling reactivate requesting last three days still connected want raise complaint regional
4,Voice5," Can you check and tell me my balance ? 
",Non,check tell balance
5,Voice6,"I want to log a complaint that my internet POTV Not is working.
There is a red color indicator appearing in the background.whats the reason behind this 
",Non,want log complaint internet potv red color indicator appearing reason behind
6,Voice7,"I would like to add on some GB to my connection.
Can you tell me how much GB I've used during peak hours?
",Non,would like add tell much used peak
7,Voice8,"I have the LOS light Blinking red color in the router I got this for the few days back as well. Can i know the reason for this?
The number is 0382245356.",Non,los light blinking red color router got days back know reason number
8,Voice9,"
Actually I made this complaint on Saturday.Our yellow color, you know that cable that goes from the set box to the router, that got damaged. Now I made a complaint, I reported this.and no one attended to the problem.
We are a travel company and we need this attended to extremely urgently. Really dissappointed with your service 
",Agg,actually made complaint yellow know cable goes set box got made reported one attended travel company need attended extremely really dissappointed service
9,voice10,"Hi can i know how much is the minimum that i should pay to get back my connection back
",Non,know much minimum pay get back connection back
10,voice11,"Hello.I just want to check if I have a GB available on my network because it seems to have a slowed
down at the moment.
",Non,want check available network seems slowed
11,voice12,"Now we got our line when  shifted when we shifted our house  to Colombo and we got our telephone line 
and now its not working so I want to know why the Wi-Fi is not working
",Non,got line shifted shifted house colombo got telephone line working want know working
12,voice13,"
We have two numbers for which we are not getting physical bills.Why don’t we get Physical bill anymore. We prefer getting physical bill rather than getting an email. Not all the people are updated with the new technologies.
",Agg,two numbers getting physical get physical bill prefer getting physical bill rather getting people updated new
13,voice14," Regarding my connection, there are two things. One is that this phone is very noisy.
And the other one is that my fiber connection, they have laid over the electrical line.
Now it is stuck and it is just hanging on the electrical line.",Non,regarding two one phone one fiber laid electrical stuck hanging electrical
14,voice15,"I made a complaint regarding our internet connection but still I didn't get any reply
from your sideSo can you please check whether what is the status?",Non,made complaint regarding internet connection still get reply sideso please check whether
15,Voice16,"Hello, our landline is not working now
it's under the name of Mr. K Rajagopal.",Non,landline working name
16,Voice17,My phone Number is 0313121768. My billing date is today so from tommorrow onwards i need to migrate to unlimited day flash package.,Non,phone number billing date today tommorrow onwards need migrate unlimited day flash
17,Voice18,"Sick of this garbage internet and useless router lights. Fix it, or I'm out. No more patience for your incompetence. ",Agg,sick garbage internet useless router fix patience
18,Voice19,"
I'm having problem with the online payment system?I have been trying for morning but it says not available.
",Non,problem online payment trying morning says
19,Voice20,"I just want to check with you whether  I have made a router payment on the 9th of November cause I just
checked my November bill that payment has not got credited.

",Non,want check whether made router payment 9th november cause checked november bill payment got
