mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Energy,RMS Energy,Intensity,Tempo,aggressiveness
-529.32556,56.663666,-16.689976,10.855888,-11.516223,-2.507931,-7.9635744,-9.494851,-8.698105,-0.03687926,-6.5277276,-0.4975428,-8.345603,11.8237915,0.008446033,0.1583492,129.19921875,1
-524.56635,46.04999,-16.909632,8.005425,-15.289064,-5.8172193,-12.5485935,-13.388479,-13.296664,-3.2579753,-8.200781,-7.511373,-6.971085,16.5928,0.009717419,0.19398558,103.359375,1
-578.7817,55.58335,-28.59788,14.529802,-9.815604,-9.733731,-16.221111,-8.463774,-11.442408,3.5338545,-13.033244,-1.5004761,-7.0946813,3.1075315,0.0046601836,0.073525526,129.19921875,1
-528.1672,66.7074,-13.227976,17.01947,-7.077435,0.1116316,1.8164598,-6.6678386,-7.2035866,-0.767913,-7.3693886,-2.3160858,-6.5109377,20.11928,0.011225224,0.1609064,151.99908088235293,1
-478.663,87.13883,-18.95657,15.749694,-7.600982,-5.742515,-18.32574,-18.957066,-12.290488,0.33598745,-11.2963,-1.7857095,-2.5430353,19.658274,0.01191259,0.10562646,95.703125,1
-510.3593,74.58732,-12.35077,16.396996,-11.16607,-1.1998638,-4.4403,-5.5223765,-15.056176,2.342152,-10.211094,1.5437355,-9.754811,9.19684,0.00833508,0.10682887,117.45383522727273,1
-566.6058,40.85697,-13.354878,9.953123,-19.052742,-3.3764052,-11.614002,-6.693408,-8.150044,-4.74582,-11.33666,-3.6343749,-8.235753,8.877269,0.0064258613,0.1286296,234.90767045454547,1
-460.8324,56.889194,-10.472367,15.411362,-13.349152,-5.1167693,-12.61475,-8.708925,-13.923156,6.4676847,-13.381316,-0.014872742,-4.521993,37.554302,0.016396299,0.18668598,172.265625,1
-501.8522,64.900696,-32.113403,3.0512242,-15.209519,-10.970136,-9.012096,-15.713272,-21.789288,2.177508,-8.431955,-5.380251,-7.3633604,19.496134,0.011428345,0.1584147,92.28515625,1
-696.2724,45.96865,-6.4694657,9.222818,-8.821093,-0.5698108,-9.896465,-9.708895,-10.327159,-5.9758434,-6.2543616,-1.8147047,-10.637683,0.75311244,0.0021084445,0.03476702,184.5703125,1
-554.2632,56.240555,-8.675204,8.822953,-5.9435687,-4.9897165,-14.704599,-5.355292,-17.226622,0.8628613,-6.4882917,-8.319526,-3.7762232,6.9145627,0.006268793,0.101990916,172.265625,1
-444.8592,50.476494,-30.23439,5.8189554,-25.251429,-10.999193,-12.050939,-11.852806,-15.268089,2.6161509,-17.175177,6.095091,-10.230235,58.946983,0.019515144,0.38221264,135.99917763157896,1
-494.04657,54.689667,-24.76805,12.694682,-13.866797,-2.0276184,-10.176466,-9.407044,-6.4810696,2.0544555,-5.3850894,0.09586904,-7.464246,13.752507,0.009023846,0.16024768,129.19921875,1
-509.23715,38.57017,-18.182571,6.759349,-17.793638,-5.1668515,-8.528551,-12.982555,-11.336839,-1.3819289,-7.1312623,-4.4102783,-7.7315617,26.904825,0.012289032,0.2112765,117.45383522727273,1
-552.57855,70.09094,-22.647112,23.49223,-9.631264,-8.259793,-16.41454,-8.404203,-14.017363,6.896531,-10.534738,1.3639845,-10.507706,3.90561,0.005459147,0.07234183,143.5546875,1
-524.02155,58.45885,-4.059545,17.88302,-11.4694195,-0.8080607,3.9490318,-3.0349061,-7.814856,-3.1837785,-5.3494554,-0.9872014,-4.5584,20.864223,0.010888612,0.18259564,151.99908088235293,1
-415.91455,83.91871,-30.550396,11.235336,-11.755753,-8.277205,-14.705211,-16.736813,-12.972075,-0.016193684,-11.493985,-4.6591153,-7.18841,70.6429,0.023781838,0.2016719,83.35433467741936,1
-522.16034,77.09602,-15.230228,20.730639,-5.324184,-2.808659,-5.2762403,-5.610118,-14.914666,1.8865792,-7.439409,1.7094945,-9.425197,11.26686,0.008905058,0.11666046,151.99908088235293,1
-544.1708,45.109985,-14.939194,10.22437,-19.380291,-5.7922754,-9.364513,-7.3122764,-9.977014,-0.52695996,-6.7991853,-1.0186505,-7.052772,11.318157,0.00836722,0.11779381,117.45383522727273,1
-439.92392,54.27986,-10.600425,10.802571,-12.688041,-6.9352236,-9.728905,-7.765345,-19.209194,6.086428,-13.86053,-3.544909,-2.6840572,65.02525,0.019979857,0.30727854,103.359375,1
-486.25885,73.69539,-26.436451,10.614882,-21.064398,-1.7146877,-4.4068017,-13.058977,-24.638931,1.7530266,-11.251269,-1.038959,-11.401937,11.973662,0.009543746,0.0968844,129.19921875,1
-540.5049,39.03134,-18.799809,0.29416856,-17.093136,-3.6689312,-11.852141,-10.326692,-15.625918,-3.7958045,-10.688481,-1.1689881,-14.187532,12.563328,0.008603656,0.13448353,234.90767045454547,1
-578.1873,62.667343,-6.964787,9.259308,-5.8194957,-4.5782194,-14.907636,-2.4002233,-18.368998,1.7324255,-7.1940193,-6.331988,-4.300748,7.502149,0.0067316303,0.09718667,135.99917763157896,1
-470.63232,41.627697,-26.550533,4.321639,-19.026304,-9.155996,-13.740408,-6.488892,-15.104631,1.9090337,-12.988387,3.679806,-7.044043,66.478004,0.020030117,0.26913872,161.4990234375,1
-526.2344,60.680004,-17.769955,8.923881,-15.483214,-0.7556379,-11.105295,-10.048563,-11.120987,0.912951,-10.788691,0.1012772,-11.798262,15.62194,0.010223633,0.14653446,198.76802884615384,1
-530.3263,38.025017,-18.113592,4.6415415,-16.950378,-7.154438,-13.641789,-15.054354,-14.964052,-3.4707186,-9.576341,-5.5365076,-13.122745,27.22529,0.013059743,0.15659486,107.666015625,1
-507.1,62.785915,-34.86913,8.441484,-17.756575,-20.42464,-19.498884,-15.335146,-16.884214,5.5996065,-16.230682,-1.0358893,-13.3900175,8.84834,0.008457316,0.08044792,117.45383522727273,1
