mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,aggressiveness
-581.18304,61.77531,0.33451796,8.486256,0.7884182,11.279878,-6.216891,0.53489095,2.5265644,-0.25710386,-0.8059133,-0.9140895,-2.3717897,1
-574.6684,56.525585,-2.9609346,8.754062,1.4124628,7.794606,-5.879593,-1.4388989,0.36538848,-1.025561,-1.278394,-1.1510011,-9.105648,1
-628.3779,69.17358,-5.179301,4.1444907,-2.5614667,12.802252,-1.2457741,0.46977082,1.9130758,-0.1597884,-1.8856249,-7.068508,-4.5529366,1
-577.2394,67.03251,5.281436,11.227827,3.1010988,18.982237,-5.8871174,1.3555857,6.083599,1.5859051,2.8872354,3.1668804,-1.952211,1
-540.83923,89.90842,8.10426,13.206378,1.8574399,19.507902,-5.437987,3.9339259,7.808056,0.8066302,1.848405,-6.200817,-10.122912,1
-605.0466,71.48021,3.098732,17.051323,3.2703354,16.892895,-1.8296629,0.33057368,2.4642332,3.1148612,1.3543135,0.78999627,1.2107993,1
-596.578,46.463203,-4.9309807,10.591606,0.38357615,10.140254,-9.363863,2.677122,-0.8775615,-4.2466393,-2.6028802,-2.5302088,-4.0021315,1
-527.2247,57.12968,-0.32698807,13.323317,2.7125773,13.032641,-2.9350622,0.88931906,-0.09644421,4.692175,-1.8879987,-6.3612285,-3.5015793,1
-555.45465,68.4585,3.0672307,3.5438583,-1.8455768,10.583113,-7.1916633,-6.943726,-1.9317484,0.9758436,2.535317,-5.196242,-5.376667,1
-731.7756,52.95401,-0.14418793,16.290306,1.3221928,10.1525955,-1.9791073,2.4005694,4.2038054,-1.5271845,-1.2823329,3.057824,-2.7595508,1
-596.99084,57.44116,6.2539797,14.528925,-2.5485704,12.459155,0.14001553,1.6486175,-1.1866174,-0.12941803,6.0437546,-4.7278886,-8.23335,1
-514.7124,62.4965,-7.2330585,8.979169,-1.0561532,9.702667,-8.145512,-6.4384284,-0.8400275,-1.2649606,-6.369612,-7.981868,0.10209256,1
-545.607,65.95974,-3.5707371,5.669685,-0.18787947,10.573395,-8.799986,1.7446413,1.7876568,-1.1062598,-1.308963,-2.8162398,-2.8907666,1
-547.21466,51.43924,-6.047395,7.333676,1.5771784,6.9576373,-7.784335,-4.1727257,0.44172728,-0.732116,-2.90624,0.29153758,-8.32295,1
-633.5827,81.41924,-3.3769295,12.314463,0.15229793,18.755226,0.1710093,2.1287673,2.513117,1.4481283,0.15812401,-4.277583,-2.8415744,1
-549.3702,58.58581,4.040994,14.201728,8.545798,18.56558,-4.6765866,-0.38454545,3.1693885,-0.98885703,3.1828818,3.390973,-0.5128119,1
-490.77792,84.23039,2.0245576,4.7935543,-1.246074,13.784976,-7.094454,-1.5468392,4.372388,-0.1578137,0.8895699,-4.1925545,-8.269789,1
-605.8365,80.13761,4.481428,14.230371,3.0180793,20.289093,-0.94716436,2.6989527,1.9928153,3.167939,1.953763,0.7988152,1.4558871,1
-588.718,49.345417,-4.2039323,10.03685,0.107023045,12.65653,-9.8458,-0.2694332,-2.358904,-2.5238497,-2.1056616,-1.4694396,-5.4493976,1
-493.49966,51.935246,1.4081398,11.290029,1.4087214,11.892012,-2.1275492,-2.5164258,-2.6585197,5.1048985,0.5134431,-6.640668,-4.640623,1
-576.47504,75.28443,-1.8831133,12.530677,-1.9182084,15.243129,-12.803254,-5.346432,-0.93010134,3.3480318,3.2776465,-1.9124756,-2.4663126,1
-573.3361,49.64186,-5.8949785,11.502819,-4.329721,5.236826,-6.0052137,-4.9472895,0.2827045,-2.4429483,-4.0482616,0.8257399,-4.3588476,1
-627.09955,62.541233,7.3019395,17.520151,-2.5175002,13.228048,2.12802,0.90779597,-1.94847,-0.64677614,5.8319182,-4.653701,-5.5901785,1
-512.63306,57.923756,-7.1945133,7.96041,-3.8888931,7.8616076,-5.8272514,-4.1483474,-3.4965045,-2.0856938,-5.102386,-7.250638,-2.151009,1
-579.3441,62.71938,0.5693842,12.011419,-0.084575936,11.187357,-8.957983,2.2474177,0.47227865,1.8073872,-2.3591824,-1.7669728,-1.3411634,1
-561.4776,49.242775,-5.814332,9.2880335,-2.7738183,9.172394,-8.804368,-2.132914,-0.57223445,-0.7130495,-4.815296,1.2381071,-9.702707,1
-583.06976,71.867676,-5.6364927,5.516614,-5.4562597,15.292239,-4.659472,-6.014659,0.38009158,-1.0776728,-4.83102,-8.563079,-5.8748097,1
-601.308,53.357574,7.8864555,20.578821,5.883961,19.948616,-3.8260887,1.2723547,5.240767,1.9826134,3.5773227,3.7811482,-0.29089263,1
-518.4998,77.185745,10.407474,13.963653,-2.6856625,13.414744,-5.579983,4.4772415,6.213392,3.2623851,-1.479365,-6.897712,-2.6574342,1
-641.0432,66.053764,6.387665,22.892912,-2.2275944,17.345444,0.5803403,2.5997133,6.9286203,5.434181,-2.679508,0.81897634,1.1042739,1
-560.0846,46.76558,-7.4155974,8.258989,2.0290165,13.351308,-11.7892475,-0.19283545,-0.8737581,-4.1473775,-3.9629574,-2.0360172,-6.047397,1
-546.81934,51.112278,-1.6792072,15.588014,1.5452691,9.928731,-4.724354,1.2666692,-2.7705336,3.8597436,-0.4487199,-4.4434047,-5.9618793,1
-563.5043,57.509613,-0.2439883,11.62263,-2.1764653,10.590614,-4.946974,-5.5718617,-1.560461,0.95161104,0.9974939,-2.030959,-4.333801,1
-640.36475,59.52119,-10.260538,10.274859,-0.8705627,10.168239,-6.4437866,1.6349188,1.6138173,-0.8764809,-3.9786355,-1.649663,-5.745044,1
-588.10345,65.065445,1.9893991,15.868429,-5.458622,11.693187,-1.1334652,0.5910084,-2.3742561,0.39272997,6.571624,-5.9568644,-7.8276973,1
-542.2568,57.52889,-4.453939,7.018311,-0.94600457,10.759848,-6.8004346,-3.0531065,-0.48636338,-0.9577936,-3.7716687,-6.6296954,-0.34867784,1
-573.7177,63.381706,-4.528022,9.36136,-2.038422,12.64082,-11.60952,0.9261904,-0.25803372,-0.05522938,-3.5131567,-1.7182819,-1.5190014,1
-585.04663,58.049183,-5.0762033,10.99884,0.074983686,8.775264,-8.758256,-0.9568804,-0.022117028,-0.4431609,-1.4220641,-1.3232588,-9.445519,1
-552.89056,61.287193,-5.6755066,6.4674873,-3.8541312,11.536757,-1.1362622,-6.127384,-1.8356498,-0.6924838,-2.373044,-7.4970922,-5.0447392,1
-601.3697,56.52313,7.0082955,21.666508,6.8251004,21.146236,-2.1320758,0.6468932,4.409843,3.415425,2.3425887,4.755466,-1.7552242,1
-518.28326,83.588165,6.412183,11.233104,0.3081204,16.783316,-10.119216,6.4093733,10.424849,-0.4412337,-2.107782,-5.765025,-3.1743636,1
-620.26465,63.071354,4.0947304,16.087496,-1.3331952,15.57854,-1.6535648,0.1086399,6.215765,4.2595963,-2.8484044,-1.093736,0.049961995,1
-549.04755,44.197697,-3.7175906,7.4380665,-2.4311113,11.354362,-14.386564,-0.7622409,-3.6487098,-3.0559156,-3.9988613,-4.0369573,-7.444806,1
-496.00815,52.371437,-3.4971106,13.483666,1.5742707,13.37571,-1.846004,0.17885768,0.058000993,4.3358073,-0.20313,-6.1876216,-7.2605553,1
-592.52216,68.3663,-0.053534098,11.868603,-5.107482,12.62492,-7.4808345,-5.8815017,-2.7285,-0.84636796,1.6812943,-1.7690961,-4.828291,1
-527.9573,66.025345,-12.767628,8.91452,-8.704334,8.152026,-7.320869,-5.303076,0.32865706,-4.434039,-4.6432233,-1.2831806,-8.1681185,1
-561.12164,64.59256,2.3660743,17.069994,-3.7805462,12.525798,-0.07605915,-1.1631474,-2.543634,0.6101844,6.7941966,-3.85588,-8.852054,1
-511.6253,64.86379,-4.2452803,9.422847,-6.8064985,11.544275,-5.4020658,-6.5488453,-1.8615791,-1.2456597,-6.3413024,-6.8939767,-4.1620755,1
-454.15225,58.61418,-10.690966,1.3843004,0.06593114,7.9817986,-13.224921,-4.227357,1.9939148,-4.181111,-4.7949133,-1.0211641,-4.37161,1
-409.22775,44.884274,-15.052274,5.6458726,-2.800884,6.0790844,-15.669622,-3.3857136,1.0704675,-3.7712333,-4.642271,1.9206389,-9.061551,1
-358.2142,59.524975,-15.405292,-10.777068,-16.616882,4.818233,-11.976743,-10.814737,-5.9207716,-2.213776,-8.26037,-9.657466,-7.7255087,1
-475.72763,65.97553,-1.1242231,9.254418,2.7028005,15.760184,-11.569161,-7.2084265,-0.20405447,-1.2040261,1.2695359,1.1727681,-1.0490763,1
-363.65668,61.072525,-2.1882942,0.5883275,-0.87120134,10.287345,-6.452153,-3.2453713,1.1777242,-2.226053,-3.2032402,-6.90446,-5.5987167,1
-445.95615,60.214924,1.975151,11.140036,-2.6230354,11.705815,-0.44026306,-5.092186,-0.25230816,2.5265515,-0.9454642,-0.790142,0.86868286,1
-390.58743,60.76622,-14.373597,-2.0793235,-4.370632,8.17412,-15.847216,-8.679441,-3.7275465,-4.551754,-10.164613,-2.5568945,-4.151942,1
-445.84995,49.63408,-2.059389,8.019475,1.2892354,12.21501,-5.587695,-4.5027943,-2.4185393,3.634704,-2.7616723,-8.07986,-4.7541404,1
-381.2939,38.136234,-20.764404,-3.6051314,-9.3555355,1.1125327,-9.749105,-5.9320035,-10.168657,-4.2542305,-0.27815628,-5.655404,-4.8693433,1
-441.97302,64.88227,-17.489977,13.294179,1.889992,14.563736,-8.573289,-0.2271944,2.450039,-2.0317025,-5.863864,0.6321822,-5.463864,1
-488.83798,60.800507,-5.8156476,7.630455,-7.141387,10.39069,-0.8510197,-4.085004,-3.157888,1.5499436,-0.893983,-5.557814,-8.89676,1
