Complaints,Department
"Yeah, the LOS indicator, correct.",Technical
I cannot connect to my Wi-Fi.,Technical
I just need this fiber cable to be corrected.,Technical
I have to have the wireless connection to the home automation system. Then only I will be able to work. Otherwise it will be just idling. I will not be having any access.,Technical
Our landline is not working.,Technical
"Every time there's bad weather, my service gets disrupted. What measures are in place to prevent this, and what can be done to improve reliability?",Technical
We want to increase our Wi-Fi services,Technical
"I am working from home and I need the internet
Without that I cannot work, I am using my mobile data right now
So I have a lot of meetings to attend, so for that I need the internet, the fiber",Technical
"Router that you have installed, that is the router that you have. You don't have anything other model than that, right?",Technical
I want to know why the Wi-Fi is not working,Technical
"My router is not working properly. I've restarted it several times, but it doesn't work. What can be done to resolve this?",Technical
"I recently upgraded my device, and now I'm having trouble connecting it to your network. Can you provide guidance on resolving compatibility issues?",Technical
I'm calling to reactivate my line.,Technical
I have to have the wireless connection to the home automation system. Then only I will be able to work. Otherwise it will be just idling. I will not be having any access.,Technical
"I frequently travel to a specific area, and there's no coverage there. What steps can be taken to improve service in that location?",Technical
I'm experiencing problems with roaming. My phone is not connecting to local networks when I travel. How can this be resolved?,Technical
TV channels are out of order.,Technical
We want to increase our Wi-Fi services,Technical
I want to know why the Wi-Fi is not working,Technical
I did not get any calls from you guys for the technical issues,Technical
In WIFI router it just has only two lights the others are not working,Technical
We need the technical officer and it is extremely urgent.,Technical
Phone is very noisy.,Technical
"I thought connection will automatically come up, but it has been more than 10 hours now and still it has not been up.",Technical
After power cut our router is gone.,Technical
I made the complaint about my telephone is not working.,Technical
I cannot connect to my Wi-Fi.,Technical
"I have a phone connection also in this number and I got a landline phone now which I connect to the landline, but it's not getting connected, the signal.",Technical
"They said that to make  the speed faster, we have to put the fiber connection",Technical
"Actually from today morning, I think for the lightning and the rain, the connection got lost.",Technical
"The internet is not working, the SLT fiber, but I don't know, can you tell me what's wrong?",Technical
Our landline is not working.,Technical
I want to know why the Wi-Fi is not working,Technical
"Router that you have installed, that is the router that you have. You don't have anything other model than that, right?",Technical
I've been requesting this for the last three days and it's still not connected.,Technical
I made a complaint regarding our internet connection but still I didn't get any reply from your side. So can you please check whether what is the status?,Technical
After power cut our router is gone.,Technical
"I thought connection will automatically come up, but it has been more than 10 hours now and still it has not been up.",Technical
"I need to just make it a high priority because this is a business shop. So, I cannot do anything without the internet connection.",Technical
After power cut our router is gone.,Technical
No dial tone on my landline phone.,Technical
We need the technical officer and it is extremely urgent.,Technical
Connection showed a bit of lag.,Technical
I have made a complaint regarding the picture not appearing on our TV.,Technical
TV channels are out of order.,Technical
There is a red color indicator appearing in the background.,Technical
