VoiceClip_No,TextTranscript,label,processed_content
Voice52,the experience was your agent responded positively for all the clarifications had,Non,the experience was your agent responded positively for all the clarifications had
Voice38,get not working all,Non,get not working all
Voice199,can know the current price the fiber connection,Non,can know the current price the fiber connection
Voice216,problem with can you help,Non,problem with can you help
Voice62,problem with can you help,Non,problem with can you help
Voice31,having problem with the online payment have been trying for morning but says not,Non,having problem with the online payment have been trying for morning but says not
Voice84,can you activate more for connection,Non,can you activate more for connection
voice33,could you please give solution speedup wifi,Non,could you please give solution speedup wifi
Voice34,can know the remaning for the peak,Non,can know the remaning for the peak
Voice24,get the bill through email regularly there,Non,get the bill through email regularly there
Voice70,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical,Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
Voice47,our landline not working now under the name,Non,our landline not working now under the name
Voice127,yes yesterday made the complaint about telephone after the rain big blackout came and island wide powercut after power cut our router gone,Non,yes yesterday made the complaint about telephone after the rain big blackout came and island wide powercut after power cut our router gone
Voice64,problem with can you help,Non,problem with can you help
Voice159,can know why get physical bills anymore,Non,can know why get physical bills anymore
Voice104,wanted share positive experience with one your they were incredibly helpful and addressing concerns with please pass gratitude for their excellent assistance,Non,wanted share positive experience with one your they were incredibly helpful and addressing concerns with please pass gratitude for their excellent assistance
Voice88,how much should pay reactivate connection,Non,how much should pay reactivate connection
Voice31,yes yesterday made the complaint about telephone after the rain big blackout came and island wide powercut after power cut our router gone,Non,yes yesterday made the complaint about telephone after the rain big blackout came and island wide powercut after power cut our router gone
Voice40,can know how much the minimum that should pay get back connection back,Non,can know how much the minimum that should pay get back connection back
Voice203,could you please give solution speedup wifi,Non,could you please give solution speedup wifi
Voice84,wifi connection and peo stopped working since last send someone check this,Non,wifi connection and peo stopped working since last send someone check this
Voice145,the agent did not follow the issue reported previous could you kindly tell whom should report,Non,the agent did not follow the issue reported previous could you kindly tell whom should report
Voice24,give you the number can you tell the,Non,give you the number can you tell the
