,VoiceClip_No,TextTranscripts,label,processed_content
0,Voice1,"We want to increase our Wi-Fi services, increase thespeed for the upload and the download. How do we do that?
Oh, fiber connection. So how do we do that?Okay. So then for the connection, we have to reconnect everything?

",Non,want increase our increase thespeed for the upload and the how fiber how then for the have reconnect
1,Voice2,"I want to know whether I will be charged for the for dialing 12 and 12It's free of charge?Ok, so whenever I happen to dial this number
no charges made by the telecom, isn't it?

",Non,want know whether will charged for the for dialing and free whenever happen dial this number charges made the
2,Voice3," I made a complaint today morning.I did not get any calls from you guys for the technical issues
 because I am working from home and I need the internet and I need to get this done urgently 
",Agg,made complaint today did not get any calls from you guys for the technical issues because working from home and need the internet and need get this done urgently
3,Voice4," I'm calling to reactivate my line. I've been requesting this for the last three days and it's still not connected
 I want to raise a complaint against your regional office.
",Agg,calling reactivate been requesting this for the last three days and still not connected want raise complaint against your regional
4,Voice5," Can you check and tell me my balance ? 
",Non,can you check and tell balance
5,Voice6,"I want to log a complaint that my internet POTV Not is working.
There is a red color indicator appearing in the background.whats the reason behind this 
",Non,want log complaint that internet potv not there red color indicator appearing the the reason behind this
6,Voice7,"I would like to add on some GB to my connection.
Can you tell me how much GB I've used during peak hours?
",Non,would like add some can you tell how much used during peak
7,Voice8,"I have the LOS light Blinking red color in the router I got this for the few days back as well. Can i know the reason for this?
The number is 0382245356.",Non,have the los light blinking red color the router got this for the few days back can know the reason for the number
8,Voice9,"
Actually I made this complaint on Saturday.Our yellow color, you know that cable that goes from the set box to the router, that got damaged. Now I made a complaint, I reported this.and no one attended to the problem.
We are a travel company and we need this attended to extremely urgently. Really dissappointed with your service 
",Agg,actually made this complaint yellow you know that cable that goes from the set box the that got now made reported one attended the are travel company and need this attended extremely really dissappointed with your service
9,voice10,"Hi can i know how much is the minimum that i should pay to get back my connection back
",Non,can know how much the minimum that should pay get back connection back
10,voice11,"Hello.I just want to check if I have a GB available on my network because it seems to have a slowed
down at the moment.
",Non,just want check have available network because seems have slowed down the
11,voice12,"Now we got our line when  shifted when we shifted our house  to Colombo and we got our telephone line 
and now its not working so I want to know why the Wi-Fi is not working
",Non,now got our line when shifted when shifted our house colombo and got our telephone line and now its not working want know why the not working
12,voice13,"
We have two numbers for which we are not getting physical bills.Why don’t we get Physical bill anymore. We prefer getting physical bill rather than getting an email. Not all the people are updated with the new technologies.
",Agg,have two numbers for which are not getting physical get physical bill prefer getting physical bill rather than getting not all the people are updated with the new
13,voice14," Regarding my connection, there are two things. One is that this phone is very noisy.
And the other one is that my fiber connection, they have laid over the electrical line.
Now it is stuck and it is just hanging on the electrical line.",Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
14,voice15,"I made a complaint regarding our internet connection but still I didn't get any reply
from your sideSo can you please check whether what is the status?",Non,made complaint regarding our internet connection but still get any reply from your sideso can you please check whether what the
15,Voice16,"Hello, our landline is not working now
it's under the name of Mr. K Rajagopal.",Non,our landline not working now under the name
16,Voice17,My phone Number is 0313121768. My billing date is today so from tommorrow onwards i need to migrate to unlimited day flash package.,Non,phone number billing date today from tommorrow onwards need migrate unlimited day flash
17,Voice18,"Sick of this garbage internet and useless router lights. Fix it, or I'm out. No more patience for your incompetence. ",Agg,sick this garbage internet and useless router fix more patience for your
18,Voice19,"
I'm having problem with the online payment system?I have been trying for morning but it says not available.
",Non,having problem with the online payment have been trying for morning but says not
19,Voice20,"I just want to check with you whether  I have made a router payment on the 9th of November cause I just
checked my November bill that payment has not got credited.

",Non,just want check with you whether have made router payment the 9th november cause just checked november bill that payment has not got
20,Voice21,"I have a loss of signal blinking red lights on my router.the LOS is flashing red after the storm.but I've only looked indoors and this happened a few hours ago before the storm. I paid yesterday, so don't blame me.You better fix it quickly 
.",Agg,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly
21,Voice22,"Hello, I have made a complaint regarding the picture not appearing on our TV.
I have been making this complain from yesterday night.
",Agg,have made complaint regarding the picture not appearing our have been making this complain from yesterday
22,Voice23,Now what i want to know is that i have a got a message saying to pay the arreas upto october otherwise this line will be disconnected. can you tell me what is the arrears upto october. Is that the minimum payment i should pay,Non,now what want know that have got message saying pay the arreas upto october otherwise this line will can you tell what the arrears upto that the minimum payment should pay
23,Voice24,"Yeah, in the router there is a LOS bar which is blinking in red right now.Yeah, I need to just make it a high priority because this is a business shop.
So, I cannot do anything without this internet connection.",Non,the router there los bar which blinking red right need just make high priority because this business cannot anything without this internet
